10084,The Urban Ministry Center, 945 North College Street,http://www.urbanministrycenter.org/,3 stars,$4089966
10085,Thornwell Home for Children, P.O. Box 60,http://www.thornwell.org/,3 stars,$4789004
10086,Boys and Girls Home of North Carolina, 400 Flemington Drive,http://www.boysandgirlshomesofnc.com/,3 stars,$9286751
10087,,,,,
10088,The Acadiana Outreach Center, 125 South Buchanan Street,http://www.acadianaoutreach.org/,1 stars,$-56435
10089,Right From The Heart Ministries, 1507 Johnson Ferry Road,http://www.rfth.org/,3 stars,$959318
10090,SafeHouse Outreach, 89 Ellis Street NE,,2 stars,$777327
10091,Dikembe Mutombo Foundation, P.O. Box 674227,http://www.dmf.org,3 stars,$724220
10092,Jewish Federation of Sarasota-Manatee, Klingenstein Jewish Center,http://www.smjf.org,3 stars,$4086509
10093,1000 Friends of Florida, 308 North Monroe Street,,3 stars,$608188
10094,United Way of the Big Bend, 307 East Seventh Avenue,http://www.uwbb.org,2 stars,$5104696
10095,Boys & Girls Clubs of Sarasota County, P.O. Box 4068,http://www.boysandgirlsclubs.com/,3 stars,$3454388
10096,Jewish Community of Louisville, 3600 Dutchmans Lane,http://www.jewishlouisville.org,3 stars,$7706622
10097,WTCI, 7540 Bonnyshire Drive,http://wtcitv.org/,3 stars,$2285145
10098,United Way of Madison County, 701 Andrew Jackson Way,http://www.uwhsv.org/,3 stars,$6542760
10099,,,,,
10100,Arkansas Sheriffs' Youth Ranches, P.O. Box 3964,http://www.youthranches.com/,1 stars,$2089692
10101,,,,,
10102,Louisiana Baptist Children's Home, 7200 DeSiard Street,,2 stars,$7156181
10103,John 3:16 Mission, 205 East Pine Street,http://www.john316mission.org/,4 stars,$7525559
10104,,,,,
10105,,,,,
10106,Texas Public Policy Foundation, 900 Congress Avenue,http://www.texaspolicy.com/,4 stars,$7612280
10107,Cancer Support Community North Texas, Texas Health Resources University,http://www.cancersupporttexas.org/,3 stars,$651839
10108,,,,,
10109,,,,,
10110,Northern Plains Resource Council, 220 South 27th Street,http://www.northernplains.org/,4 stars,$1163271
10111,Boys & Girls Clubs of Metro Denver, 2017 West 9th Avenue,http://www.GreatFuturesDenver.org,4 stars,$18683023
10112,,,,,
10113,,,,,
10114,SITE Santa Fe, 1606 Paseo de Peralta,http://www.sitesantafe.org,3 stars,$2136835
10115,New Mexico Wilderness Alliance, P.O. Box 25464,http://www.nmwild.org/,2 stars,$966898
10116,,,,,
10117,,,,,
10118,,,,,
10119,,,,,
10120,Treehouse Washington, 2100 24th Avenue South,http://www.treehouse4kids.org/,4 stars,$7390046
10121,Bread of Life Mission, 97 S. Main Street,http://www.breadoflifemission.org/,1 stars,$3278877
10122,Iditarod Trail Committee, P.O. Box 870800,http://www.iditarod.com,0 stars,$3312062
10123,,,,,
10124,Special Olympics Oregon, 5901 Southwest Macadam Avenue,http://www.soor.org,3 stars,$4707646
10125,Providence Child Center Foundation, 830 NE 47th Avenue,http://oregon.providence.org/patients/programs/providence-child-center-foundation/Pages/default.aspx,3 stars,$2664864
10126,,,,,
10127,,,,,
10128,SPUR, 654 Mission Street,http://www.spur.org/,4 stars,$3315775
10129,Girls Inc. of Alameda County, 510 16th Street,http://www.girlsinc-alameda.org/,4 stars,$8998456
10130,Safe Nest, 2915 West Charleston Boulevard,http://www.safenest.org,2 stars,$4807788
10131,Women's Initiative for Self Employment, 1398 Valencia Street,http://www.womensinitiative.org,1 stars,$4170480
10132,Freedom Foundation, P.O. Box 552,http://myfreedomfoundation.com/,2 stars,$1766236
10133,Presbyterian Frontier Fellowship, 7132 Portland Avenue,http://www.pff.net/,3 stars,$1417446
10134,Jewish Federation and Family Services of Orange County, One Federation Way,http://www.jewishorangecounty.org/,4 stars,$5690156
10135,Casa de Amparo, 325 Buena Creek Road,http://www.casadeamparo.org/,3 stars,$5284136
10136,Santa Barbara Bowl Foundation, 1122 North Milpas Street,http://sbbowl.com/,3 stars,$8227210
10137,Operation HOPE, 707 Wilshire Boulevard,http://www.operationhope.org,2 stars,$7035202
10138,,,,,
10139,,,,,
10140,Los Angeles Alliance for a New Economy, 464 Lucas Avenue,http://www.laane.org/,4 stars,$3993537
10141,,,,,
10142,Vermont Academy, 10 Long Walk,http://www.vermontacademy.org,3 stars,$11786915
10143,National Multiple Sclerosis Society Greater Delaware Valley Chapter, 30 South 17th Street,http://www.nationalmssociety.org/Chapters/PAE,3 stars,$9965885
10144,Rockford Rescue Mission, 715 West State Street,,3 stars,$5939390
10145,Dallas Life Foundation, 1100 Cadiz Street,,3 stars,$2659694
10146,,,,,
10147,,,,,
10148,American Friends of Migdal Ohr, 1560 Broadway,http://migdalohrusa.org,2 stars,$2810831
10149,,,,,
10150,Millionair Club Charity, 2515 Western Avenue,http://www.millionairclub.org/,3 stars,$1379145
10151,,,,,
10152,MIND Research Institute, 111 Academy,http://www.mindresearch.org/,3 stars,$19860587
10153,United Way of Union County, 232 North Main Street Suite UW,http://www.unitedwayofunioncounty.org,3 stars,$819863
10154,Jewish Community Center of Greater Rochester, 1200 Edgewood Avenue,http://www.jccrochester.org,4 stars,$10435698
10155,United Way of Brazoria County, 4005 Technology Road,,4 stars,$2848599
10156,Boy Scouts of America Andrew Jackson Council, 855 Riverside Drive,http://www.bsa-jackson.org/,3 stars,$2909935
10157,Organic Consumers Association, 6771 South Silver Hill Drive,http://www.organicconsumers.org/,2 stars,$1888971
10158,Project Exploration, 4511 S. Evans Ave.,http://www.projectexploration.org,2 stars,$442562
10159,WomenHeart, 818 Eighteenth Street NW,http://www.womenheart.org/,3 stars,$3687124
10160,Children's Rights, 330 Seventh Avenue,http://www.childrensrights.org/,3 stars,$2932966
10161,Aplastic Anemia & MDS International Foundation, 100 Park Avenue,http://www.aamds.org,4 stars,$4391197
10162,SBH Community Service Network, 425 Kings Highway,http://www.sbhonline.org,4 stars,$5647000
10163,,,,,
10164,North Penn United Way, 1715 Sumneytown Pike,,4 stars,$1978547
10165,,,,,
10166,,,,,
10167,Angel Flight Northeast, 492 Sutton Street,http://www.angelflightne.org,3 stars,$815680
10168,Violence Policy Center, 1730 Rhode Island Avenue NW,http://www.vpc.org,2 stars,$822331
10169,Lynn Sage Cancer Research Foundation, 251 East Huron Street,http://www.lynnsage.org,4 stars,$1668615
10170,Special Olympics Missouri, 1001 Diamond Ridge,http://www.somo.org,3 stars,$4266848
10171,John Tracy Clinic, 806 West Adams Boulevard,http://www.jtc.org,2 stars,$3354827
10172,CATCH Neighborhood Housing, 76 South State Street,http://www.catchhousing.org/,2 stars,$1123676
10173,Center for Economic and Policy Research, 1611 Connecticut Avenue NW,http://www.cepr.net,3 stars,$1204443
10174,The Jewish Community Center of Greater Columbus, 1125 College Avenue,http://www.columbusjcc.org/,4 stars,$8389913
10175,,,,,
10176,,,,,
10177,A Noise Within, 3352 East Foothill Boulevard,http://www.anoisewithin.org,2 stars,$1889595
10178,Little Brothers - Friends of the Elderly Chicago Chapter, 355 North Ashland Avenue,http://www.littlebrotherschicago.org/,2 stars,$4280605
10179,Interfaith Caring Ministries, 151 Park Avenue,http://www.icmtx.org,4 stars,$1327425
10180,Union Rescue Mission Little Rock, 3001 Confederate Blvd,,4 stars,$894971
10181,Inner-City Scholarship Fund, 1011 First Avenue,http://www.innercityscholarshipfund.org,3 stars,$15494058
10182,George Mark Children's House, 2121 George Mark Lane,http://www.georgemark.org,3 stars,$3547191
10183,Foundation to Eradicate Duchenne, P.O. Box 2371,http://www.duchennemd.org/,1 stars,$868867
10184,,,,,
10185,Activated Ministries, 735 S Vinewood St,http://www.activatedministries.org,1 stars,$2529549
10186,Blanchette Rockefeller Neurosciences Institute, Eight Medical Center Drive,http://www.brni.org,3 stars,$2859026
10187,,,,,
10188,,,,,
10189,Plymouth Housing Group, 2113 Third Avenue,http://www.plymouthhousing.org/,4 stars,$16196709
