Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL in Charitynavigator
10087,The Acadiana Outreach Center, 125 South Buchanan Street,http://www.acadianaoutreach.org/,1 stars,"($56,435)",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10087
10184,Activated Ministries, 735 S Vinewood St,http://www.activatedministries.org,1 stars,"$2,529,549 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10184
15381,Actors Playhouse, 280 Miracle Mile,http://www.actorsplayhouse.org/,1 stars,"$3,620,171 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15381
12503,The Aidmatrix Foundation, P.O. Box 631086,http://aidmatrix.org,1 stars,"$3,781,039 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12503
8802,AIDS Community Research Initiative of America, 575 8th Avenue,http://acria.org,1 stars,"$2,597,001 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8802
7701,AIDS Research Alliance, 1400 S. Grand Ave,http://www.aidsresearch.org/,1 stars,"$1,898,949 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7701
10661,Airline Ambassadors International, 1500 Massachusetts NW,http://www.airlineamb.org/,1 stars,"$407,209 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10661
7261,Alabama Shakespeare Festival, One Festival Drive,http://www.asf.net/,1 stars,"$5,712,197 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7261
13639,The Alabama Sheriffs' Youth Ranches, 2680 Bell Road,http://www.sheriffsranch.org/,1 stars,"$1,566,272 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13639
6766,Albany Institute of History & Art, 125 Washington Avenue,http://www.albanyinstitute.org/,1 stars,"$1,232,752 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6766
13763,All India Mission, 11252 Strang Line,,1 stars,"$1,600,948 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13763
10853,Alley Cat Rescue, P.O. Box 585,http://www.saveacat.org,1 stars,"$1,021,589 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10853
5521,Ambassadors for Christ International - USA, 1355 Terrell Mill Road,http://afci.us/,1 stars,"$965,813 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5521
9549,American Architectural Foundation, 2101 L Street NW,http://www.archfoundation.org,1 stars,"$2,230,588 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9549
8004,American Breast Cancer Foundation, 1220 B East Joppa Road,http://www.abcf.org/,1 stars,"$959,635 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8004
12586,American Center for Law and Justice - District of Columbia, PO Box 90555,,1 stars,"$1,012,222 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12586
4918,American Friends of Ateret Cohanim, 470 Seventh Avenue,http://www.ateret.org.il/english/,1 stars,"$1,036,408 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4918
11351,American Friends of Beit Issie Shapiro, 51 East 42nd Street,http://en.beitissie.org.il/international/united-states/welcome/,1 stars,"$1,056,547 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11351
14119,American Friends of Chabad of Thailand, 80 Shore Road,http://www.jewishthailand.com/,1 stars,"$1,759,369 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14119
13240,American Friends of Kupat Hair, 4415 14th Avenue,http://www.kupat.org/worldwide/,1 stars,"$4,066,298 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13240
13458,American Friends of Rabbinical College of Telzstone, 510 Second Street,,1 stars,"$7,594,693 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13458
3264,American Institute for Cancer Research, Department IHW1,http://www.aicr.org,1 stars,"$21,740,772 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3264
12968,The American Spectator Foundation, 1611 North Kent Street,http://spectator.org/,1 stars,"$2,585,553 ",Arts Culture Humanities : Public Broadcasting and Media,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12968
14577,American Values, P.O. Box 1223,http://ouramericanvalues.org/,1 stars,"$1,173,809 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14577
