Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
5797,California Police Activities League, 2000 East Fourteenth Street,http://www.calpal.org/,1 stars,$1104950,Human Services : Youth Development Shelter and Crisis Services
11703,California Wilderness Coalition, P.O. Box 11094,http://www.calwild.org,1 stars,$480868,Animals : Wildlife Conservation
11372,Cancer Lifeline, Dorothy S. O'Brien Center,http://www.cancerlifeline.org/,1 stars,$948588,Health : Patient and Family Support
11787,Cancer Support Services, Cancer Support Services,http://www.cancersupportservices.net/,1 stars,$9805984,Public Benefit : Fundraising Organizations
11554,Catholic Answers, 2020 Gillespie Way,,1 stars,$6024488,Religion : Religious Activities
7761,Catholics United for the Faith, 827 North Fourth Street,http://www.cuf.org,1 stars,$1126753,Religion : Religious Activities
14057,Caucus Educational Corporation, 25 Pompton Avenue,,1 stars,$3221189,Arts Culture Humanities : Public Broadcasting and Media
15234,The Center for Courageous Kids, 1501 Burnley Road,http://www.courageouskids.org/,1 stars,$1967608,Health : Patient and Family Support
10480,Center for Mind-Body Medicine, 5225 Connecticut Ave. NW,http://www.cmbm.org,1 stars,$1159928,Health : Patient and Family Support
6161,Charity Motors, 10431 Grand River Avenue,http://www.charitymotors.org/,1 stars,$7145993,Human Services : Social Services
6980,Charles H. Wright Museum of African American History, 315 East Warren Avenue,http://thewright.org/index.php,1 stars,$4295057,Arts Culture Humanities : Museums
9669,Cherokee National Historical Society, 21192 Keeler,,1 stars,$1547380,Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation
6698,Children's Bible Fellowship of New York, 250 Nimham Road,,1 stars,$914287,Religion : Religious Activities
7032,Children's Cancer Research Fund, 7301 Ohms Lane,http://www.childrenscancer.org/,1 stars,$9301640,Health : Diseases Disorders and Disciplines
11024,Children's Lifeline, 194 Sunset Drive,http://www.childrenslifeline.com/,1 stars,$3253585,International : Development and Relief Services
14144,Christ Reaching Asia Mission Worldwide, 601 Lincoln Avenue,http://www.cramwinc.org/,1 stars,$1355867,International : Development and Relief Services
14078,Christian Healing Ministries Inc., 438 West 67th Street,,1 stars,$1477021,Religion : Religious Activities
9509,Christian Life Resources, 3070 Helsan Drive,,1 stars,$678100,Religion : Religious Activities
5077,Christian Research Institute, P.O. Box 8500,http://www.equip.org,1 stars,$3628811,Religion : Religious Media and Broadcasting
3403,CIS Development Foundation, 77 Milltown Road,http://www.cisdf.org,1 stars,$43810215,International : Humanitarian Relief Supplies
6134,The Citizenship Education Fund, 930 East 50th Street,,1 stars,$2877141,Public Benefit : Research and Public Policy Institutions
6806,CJ Foundation for SIDS, HUMC - WFAN Pediatric Center,http://www.cjsids.org/,1 stars,$992744,Health : Diseases Disorders and Disciplines
14323,Clearwater Camp Foundation, 7490 East Clearwater Road,http://www.clearwatercamp.org/,1 stars,$1301161,Public Benefit : Fundraising Organizations
10346,Coalition for Pulmonary Fibrosis, 10866 W. Washington Boulevard,http://www.coalitionforpf.org/,1 stars,$637965,Health : Diseases Disorders and Disciplines
14224,Community Soup Kitchen and Outreach Center Inc., 36 South Street,http://cskmorristown.org/,1 stars,$1353925,Human Services : Food Banks Food Pantries and Food Distribution
3557,Concerned Women for America, 1015 Fifteenth Street NW,http://www.cwfa.org,1 stars,$6306146,Public Benefit : Advocacy and Civil Rights
8091,The Conservative Caucus Research Analysis & Education Foundation, 450 Maple Avenue E,http://www.conservativeusa.org,1 stars,$450271,Public Benefit : Research and Public Policy Institutions
6742,Contemplative Outreach, 10 Park Place,http://www.contemplativeoutreach.org/,1 stars,$953480,Religion : Religious Activities
14027,Cook Inlet Regional Citizens Advisory Council, 8195 Kenai Spur Highway,http://circac.org/,1 stars,$1222049,Environment : Environmental Protection and Conservation
14094,Creative Ministries Inc., 1875 Junction Road,http://wjtl.com/,1 stars,$1897518,Religion : Religious Media and Broadcasting
11705,Crescent Project, P. O. Box 50986,http://crescentproject.org,1 stars,$1022107,Religion : Religious Activities
10847,Crossroads Nogales Mission, 338 Morley Avenue,http://crossroadnewlifecenter.org/,1 stars,$1131232,Human Services : Homeless Services
3603,D.E.L.T.A. Rescue (Dedication and Everlasting Love to Animals), P.O. Box 9,http://www.deltarescue.org,1 stars,$7603249,Animals : Animal Rights Welfare and Services
