Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
6466,10000 Degrees, 781 Lincoln Avenue,http://www.10000degrees.org,3 stars,"$4,357,789 ",Education : Other Education Programs and Services
10092,1000 Friends of Florida, 308 North Monroe Street,,3 stars,"$608,188 ",Environment : Environmental Protection and Conservation
15235,24 Hours of Booty, 500 East Morehead Street,http://www.24hoursofbooty.org/,3 stars,"$2,550,273 ",Public Benefit : Fundraising Organizations
13546,The 52nd Street Project, 789 Tenth Avenue,http://www.52project.org,3 stars,"$1,214,335 ",Human Services : Youth Development Shelter and Crisis Services
14961,9to5 National Association of Working Women, 207 East Buffalo Street,http://9to5.org/,3 stars,"$1,672,524 ",Public Benefit : Advocacy and Civil Rights
6082,A Better Chance, 253 West 35th Street,http://www.abetterchance.org,3 stars,"$6,716,285 ",Education : Other Education Programs and Services
3634,A Contemporary Theatre, Kreielsheimer Place,http://www.acttheatre.org,3 stars,"$5,996,525 ",Arts Culture Humanities : Performing Arts
9239,A Kid Again, 777-G Dearborn Park Lane,http://www.akidagain.org,3 stars,"$1,790,536 ",Health : Patient and Family Support
14435,A Woman's Choice Resource Center, 101 West Market Street,http://awomanschoice.org/,3 stars,"$1,157,287 ",Human Services : Children's and Family Services
6096,A.J. Muste Memorial Institute, 339 Lafayette Street,http://www.ajmuste.org/,3 stars,"$971,758 ",Public Benefit : Advocacy and Civil Rights
11128,AACA Museum, 161 Museum Drive,http://www.aacamuseum.org,3 stars,"$1,618,031 ",Arts Culture Humanities : Museums
3205,AARP Foundation, 601 E Street NW,,3 stars,"$142,261,658 ",Public Benefit : Advocacy and Civil Rights
7940,Abilities United, 525 East Charleston Road,http://abilitiesunited.org,3 stars,"$6,406,304 ",Human Services : Social Services
14731,The Abraham Lincoln Foundation, 140 South Broad Street,http://www.ulheritagecenter.org/the-abraham-lincoln-foundation/alf-overview/,3 stars,"$1,424,809 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation
13578,Academy Art Museum, 106 South Street,http://www.academyartmuseum.org/,3 stars,"$1,306,318 ",Arts Culture Humanities : Museums
5705,Academy of Achievement, 1222 Sixteenth Street NW,http://www.achievement.org,3 stars,"$2,532,291 ",Education : Other Education Programs and Services
9256,Academy of American Poets, 75 Maiden Lane,http://www.poets.org,3 stars,"$2,176,958 ",Arts Culture Humanities : Performing Arts
