Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
12098,100 Black Men of America Inc., 141 Auburn Avenue,http://www.100blackmen.org/,2 stars,$3925557,Human Services : Youth Development Shelter and Crisis Services
8770,1000 Friends of Oregon, 133 SW 2nd Ave,http://www.friends.org,2 stars,$794728,Environment : Environmental Protection and Conservation
10176,A Noise Within, 3352 East Foothill Boulevard,http://www.anoisewithin.org,2 stars,$1889595,Arts Culture Humanities : Performing Arts
13189,Abandoned Children's Fund, 2360 Mendocino Ave A2-220,http://www.abandonedchildrensfund.org,2 stars,$11076577,International : Development and Relief Services
11870,Abraham House, 340 Willis Avenue,,2 stars,$845838,Human Services : Social Services
15194,Abraham Lincoln Presidential Library Foundation, 500 East Madison Street,http://www.alplm.org/,2 stars,$5278451,Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation
14539,Absolute Return for Kids US, 25 West 53rd Street,,2 stars,$2578909,International : Foreign Charity Support Organizations
12762,Abused Deaf Women's Advocacy Services, 8623 Roosevelt Way NE,http://www.adwas.org/,2 stars,$1281958,Human Services : Social Services
14568,Academy of Fine Arts, 600 Main Street,http://www.academyfinearts.com,2 stars,$2751685,Arts Culture Humanities : Performing Arts
9103,Academy of Television Arts & Sciences Foundation, 5220 Lankershim Boulevard,http://emmys.org/foundation/,2 stars,$2343235,Education : Other Education Programs and Services
13171,Acres of Love, 31920 Del Obispo,,2 stars,$2045301,International : Development and Relief Services
8757,ActionAid USA, 1420 K Street NW,http://www.actionaidusa.org/,2 stars,$2310129,International : Development and Relief Services
5018,Adirondack Historical Association, P.O. Box 99,http://www.adkmuseum.org,2 stars,$4354808,Arts Culture Humanities : Museums
13962,African Bible Colleges, P.O. Box 103,,2 stars,$3729207,Religion : Religious Activities
5857,African Enterprise, 128 East Palm Avenue,http://www.africanenterprise.org,2 stars,$1060950,Religion : Religious Activities
9463,African Leadership, 500 Wilson Pike Circle,,2 stars,$2853653,International : Development and Relief Services
5635,Agape Villages, 3160 Crow Canyon Place,http://www.agapevillages.org,2 stars,$2023346,Human Services : Children's and Family Services
12270,AHRC New York City Foundation, 83 Maiden Lane,http://www.ahrcnycfoundation.org/,2 stars,$2185612,Public Benefit : Fundraising Organizations
11185,AID FOR AIDS International, 515 Greenwich Street,http://www.aidforaids.org,2 stars,$7039327,International : Development and Relief Services
12770,Aid for Starving Children, 182 Farmers Lane Suite 201,http://aidforstarvingchildren.org/,2 stars,$12271276,Human Services : Children's and Family Services
3803,The Aims Project, P.O. Box 2640,http://www.aimshospital.org/how-to-help/donation-in-usa/,2 stars,$544520,International : Humanitarian Relief Supplies
6627,Akron Art Museum, One South High Street,http://www.akronartmuseum.org,2 stars,$3704637,Arts Culture Humanities : Museums
9645,Alabama Symphony Orchestra, 3621 Sixth Avenue South,,2 stars,$5966022,Arts Culture Humanities : Performing Arts
10988,The Albert Baker Fund, 1510 J Street,http://www.albertbakerfund.org,2 stars,$1346033,Education : Other Education Programs and Services
8155,Aldersgate Renewal Ministries, 121 East Avenue,http://www.aldersgaterenewal.org,2 stars,$802242,Religion : Religious Activities
10421,The Aleph Institute, 9540 Collins Avenue,http://www.alephinstitute.org,2 stars,$1916408,Human Services : Social Services
5582,All Children's Hospital Foundation, 500 Seventh Avenue S,,2 stars,$15504409,Public Benefit : Fundraising Organizations
11551,All God's Children International, 3308 Northeast Peerless Place,http://allgodschildren.org,2 stars,$3856152,International : Development and Relief Services
11738,All India Movement for Seva, P.O. Box 639,http://www.aimforseva.org/,2 stars,$1639367,International : Foreign Charity Support Organizations
8692,All Saints' Academy, 5001 State Road 540 W,http://www.allsaintsacademy.com/,2 stars,$12383722,Education : Private Elementary and Secondary Schools
9418,Allentown Rescue Mission, 355 Hamilton Street,http://www.allentownrescuemission.org,2 stars,$2584931,Human Services : Homeless Services
3232,Alliance of Confessing Evangelicals, 600 Eden Road,http://www.alliancenet.org,2 stars,$3246256,Religion : Religious Media and Broadcasting
3233,Alliance to Save Energy, 1850 M Street NW,http://www.ase.org,2 stars,$9715391,Environment : Environmental Protection and Conservation
14086,Alpha USA, 2275 Half Day Road,http://www.alphausa.org/Groups/1000060778/For_my_Church.aspx,2 stars,$7080395,Religion : Religious Activities
9610,The ALS Association of Georgia, 1955 Cliff Valley Way,http://webga.alsa.org/site/PageServer?pagename=GA_homepage,2 stars,$686404,Health : Diseases Disorders and Disciplines
6528,America SCORES, 520 Eighth Avenue,http://www.americascores.org,2 stars,$5212445,Human Services : Youth Development Shelter and Crisis Services
5137,America-Israel Friendship League, 134 East 39th Street,http://www.aifl.org,2 stars,$1262188,International : International Peace Security and Affairs
6217,American Action Fund for Blind Children and Adults, 1800 Johnson Street,http://www.actionfund.org,2 stars,$4856934,Human Services : Social Services
6598,American Anti-Vivisection Society, 801 Old York Road,http://www.aavs.org,2 stars,$2413550,Animals : Animal Rights Welfare and Services
12777,American Border Patrol, 2160 East Fry Boulevard,http://americanborderpatrol.com/,2 stars,$1330449,Public Benefit : Advocacy and Civil Rights
6182,American Brain Foundation, 201 Chicago Avenue,https://www.AmericanBrainFoundation.org/,2 stars,$4926190,Health : Diseases Disorders and Disciplines
6495,American Cancer Society, 250 Williams Street NW,,2 stars,$924453841,Health : Diseases Disorders and Disciplines
9257,American Cinematheque, 6712 Hollywood Boulevard,http://www.americancinemathequecalendar.com/,2 stars,$2251670,Arts Culture Humanities : Performing Arts
11704,American Civil Liberties Union of New Jersey Foundation, PO Box 32159,http://aclu-nj.org,2 stars,$810439,Public Benefit : Advocacy and Civil Rights
5021,American Committee for Shaare Zedek Medical Center In Jerusalem, 55 West 39th Street,http://www.acsz.org,2 stars,$16326316,International : Foreign Charity Support Organizations
9255,American Composers Forum, 522 Landmark Center,http://composersforum.org/,2 stars,$1804862,Arts Culture Humanities : Performing Arts
3248,The American Congress of Obstetricians and Gynecologists, 409 Twelfth Street SW,http://www.acog.org,2 stars,$30976204,Health : Treatment and Prevention Services
8177,American Council on Science and Health, 1995 Broadway,http://www.acsh.org/,2 stars,$1457379,Public Benefit : Research and Public Policy Institutions
14947,American Dance Institute, 1570 East Jefferson Street,http://www.americandance.org/,2 stars,$9265905,Arts Culture Humanities : Performing Arts
3251,American Diabetes Association, 1701 North Beauregard Street,,2 stars,$224984000,Health : Diseases Disorders and Disciplines
5477,American Forests, 1220 L Street NW,http://www.americanforests.org,2 stars,$3913595,Environment : Environmental Protection and Conservation
8547,American Foundation for Disabled Children, 84 New Dorp Plaza,http://www.amfdc.org/,2 stars,$3543335,Human Services : Social Services
3255,American Foundation for the Blind, 2 Penn Plaza,http://www.afb.org,2 stars,$7801640,Human Services : Social Services
3339,American Friends of Bar-Ilan University, 160 East 56th Street,http://www.afbiu.org,2 stars,$315332614,Education : Universities Graduate Schools and Technological Institutes
9460,American Friends of IDC, 116 East 16th Street,http://afidc.org/,2 stars,$5263379,International : Foreign Charity Support Organizations
12796,American Friends of Meir Panim, 5316 New Utrecht Avenue,http://www.meirpanim.org,2 stars,$3089455,International : Foreign Charity Support Organizations
10147,American Friends of Migdal Ohr, 1560 Broadway,http://migdalohrusa.org,2 stars,$2810831,International : Foreign Charity Support Organizations
6101,American Friends of Museums in Israel, 36 West 44th Street,http://www.museumsinisrael.org,2 stars,$3310714,International : Foreign Charity Support Organizations
