Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
3222,AFS-USA, One Whitehall Street 2nd Floor,http://www.afsusa.org,4 stars,"$35,509,744 ",International : International Peace Security and Affairs
8881,Aga Khan Foundation USA, 1825 K Street NW,http://www.partnershipsinaction.org/content/aga-khan-foundation-usa,4 stars,"$37,414,862 ",International : Development and Relief Services
6235,AIDS United, 1424 K Street NW,,4 stars,"$16,345,172 ",Public Benefit : Fundraising Organizations
8760,Air Force Enlisted Village, 92 Sunset Lane,http://www.afenlistedwidows.org/,4 stars,"$8,525,806 ",Human Services : Social Services
13296,Air Warrior Courage Foundation, P.O. Box 877,http://www.airwarriorcourage.org/,4 stars,"$1,337,763 ",Human Services : Social Services
6133,Akron Community Foundation, 345 West Cedar Street,http://www.akroncf.org/Home.aspx,4 stars,"$14,550,294 ",Public Benefit : Community Foundations
11636,Alabama Ballet, 2726 1st Avenue South,http://www.alabamaballet.org,4 stars,"$1,645,989 ",Arts Culture Humanities : Performing Arts
5818,Alameda County Community Food Bank, 7900 Edgewater Drive,,4 stars,"$52,627,450 ",Human Services : Food Banks Food Pantries and Food Distribution
14161,Albemarle Society for the Prevention of Cruelty to Animals, 3355 Berkmar Dr,http://caspca.org/,4 stars,"$3,715,855 ",Animals : Animal Rights Welfare and Services
3821,Alexander Muss Institute for Israel Education, 78 Randall Avenue,http://www.amiie.org/,4 stars,"$9,130,046 ",International : Foreign Charity Support Organizations
12443,Alex's Lemonade Stand Foundation, 333 East Lancaster Avenue,http://www.alexslemonade.org,4 stars,"$13,120,415 ",Health : Diseases Disorders and Disciplines
8198,All Classical Portland, 211 Southeast Caruthers Street,http://www.allclassical.org,4 stars,"$4,399,320 ",Arts Culture Humanities : Public Broadcasting and Media
11632,All Faiths Food Bank, 8171 Blaikie Ct.,http://allfaithsfoodbank.org,4 stars,"$11,981,259 ",Human Services : Food Banks Food Pantries and Food Distribution
6987,All God's Children, P.O. Box 5909,http://www.agcltd.org,4 stars,"$1,165,375 ",International : Development and Relief Services
13109,All Hands Volunteers, 6 County Road,http://hands.org/,4 stars,"$3,695,089 ",Human Services : Multipurpose Human Service Organizations
14495,All Our Kin, 414A Chapel Street,http://allourkin.org/,4 stars,"$1,550,336 ",Human Services : Children's and Family Services
10827,Allen Community Outreach, 801 East Main Street,http://www.acocares.org,4 stars,"$1,568,544 ",Human Services : Social Services
5453,Alley Cat Allies, 7920 Norfolk Avenue,http://www.alleycat.org,4 stars,"$7,227,086 ",Animals : Animal Rights Welfare and Services
7881,Alley Theatre, 615 Texas Avenue,http://www.alleytheatre.org/,4 stars,"$31,687,722 ",Arts Culture Humanities : Performing Arts
14546,Alliance for a Just Society, 3518 South Edmunds Street,http://allianceforajustsociety.org/,4 stars,"$2,829,959 ",Public Benefit : Advocacy and Civil Rights
11514,Alliance for Children Everywhere, P.O. Box 12250,http://www.childreneverywhere.org,4 stars,"$1,426,142 ",International : Development and Relief Services
6569,Alliance for Children's Rights, 3333 Wilshire Boulevard,http://www.kids-alliance.org/,4 stars,"$4,825,864 ",Human Services : Children's and Family Services
7083,Alliance for Justice, 11 Dupont Circle NW,http://www.afj.org/,4 stars,"$3,909,980 ",Public Benefit : Advocacy and Civil Rights
11613,Alliance For The Great Lakes, 150 North Michigan Avenue,http://www.greatlakes.org,4 stars,"$2,816,669 ",Environment : Environmental Protection and Conservation
9362,Alliance of Resident Theatres/New York, 520 Eighth Avenue Suite 319,http://www.art-newyork.org/,4 stars,"$4,937,853 ",Arts Culture Humanities : Performing Arts
14893,Almost Heaven Habitat for Humanity, 202 North Main Street,http://almostheavenhabitat.org/,4 stars,"$1,313,814 ",Public Benefit : Community and Housing Development
5895,Aloha United Way, 200 North Vineyard Boulevard,http://www.auw.org,4 stars,"$16,294,229 ",Public Benefit : Fundraising Organizations
8023,Alpha House of Tampa, 201 South Tampania Avenue,http://www.alphahouseoftampa.org/,4 stars,"$1,730,951 ",Human Services : Children's and Family Services
12977,Alpha-1 Association, 2937 Southwest 27th Avenue,http://www.alpha1.org,4 stars,"$1,484,928 ",Health : Diseases Disorders and Disciplines
9287,Alpha-1 Foundation, 3300 Ponce de Leon Blvd.,http://www.alpha-1foundation.org,4 stars,"$7,238,423 ",Health : Diseases Disorders and Disciplines
3296,The ALS Association National Office, 1275 K Street NW,http://www.alsa.org,4 stars,"$24,030,687 ",Health : Diseases Disorders and Disciplines
11938,The ALS Association Golden West Chapter, P.O. Box 565,http://www.alsagoldenwest.org,4 stars,"$3,459,762 ",Health : Diseases Disorders and Disciplines
11405,The ALS Association Greater New York Chapter, 42 Broadway,http://www.als-ny.org,4 stars,"$3,141,543 ",Health : Diseases Disorders and Disciplines
9517,ALS Association Minnesota/North Dakota/South Dakota Chapter, 333 North Washington Avenue,http://www.alsmn.org/,4 stars,"$3,657,851 ",Health : Diseases Disorders and Disciplines
11766,ALS Therapy Development Institute, 300 Technology Square,https://www.als.net/,4 stars,"$11,569,062 ",Health : Diseases Disorders and Disciplines
12763,Alternative House, P.O. Box 694,http://www.thealternativehouse.org/,4 stars,"$2,054,792 ",Human Services : Children's and Family Services
5483,The Alumni Association of the University of Virginia, 211 Emmet Street S,,4 stars,"$57,323,390 ",Education : Other Education Programs and Services
8185,Alvin Ailey Dance Foundation, The Joan Weill Center for Dance,http://www.alvinailey.org/,4 stars,"$39,092,241 ",Arts Culture Humanities : Performing Arts
12848,Alzheimer's Association, 225 North Michigan Avenue,http://www.alz.org,4 stars,"$268,920,015 ",Health : Diseases Disorders and Disciplines
10791,Alzheimer's Foundation of America, 322 Eighth Avenue,http://www.alzfdn.org,4 stars,"$5,717,912 ",Health : Diseases Disorders and Disciplines
8184,America-Israel Cultural Foundation, 1140 Broadway,http://www.aicf.org/,4 stars,"$3,064,054 ",International : Foreign Charity Support Organizations
9323,American Academy of Arts and Sciences, 136 Irving Street,http://www.amacad.org/,4 stars,"$11,463,435 ",Public Benefit : Research and Public Policy Institutions
3239,American Association for the Advancement of Science, 1200 New York Avenue NW,http://www.aaas.org,4 stars,"$97,560,704 ",Public Benefit : Research and Public Policy Institutions
5439,American Bird Conservancy, P.O. Box 249,http://www.abcbirds.org,4 stars,"$8,736,690 ",Animals : Wildlife Conservation
7026,The American Chestnut Foundation, 50 North Merrimon Avenue,http://www.acf.org/,4 stars,"$2,313,356 ",Environment : Environmental Protection and Conservation
14036,The American Civil War Center At Historic Tredegar, 490 Tredegar Street,http://www.tredegar.org/,4 stars,"$3,095,392 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation
12062,American Council for an Energy-Efficient Economy, 529 14th Street N.W.,http://www.aceee.org,4 stars,"$7,430,165 ",Public Benefit : Research and Public Policy Institutions
9258,American Documentary, 20 Jay Street,http://amdoc.org,4 stars,"$3,744,008 ",Arts Culture Humanities : Public Broadcasting and Media
